"id","component","implementation_status","contract_tests","offline_evidence","matched_live_effect","enabled_for_sealed_plan"
"B0","frozen pre-VNext baseline","captured","PASS","baseline only","baseline only","true"
"SQ1","counterbalanced semantic-judge security qualification","complete","PASS","contract only","not run","false"
"B2","pre-hypothesis research","autonomous discovery + deterministic fetch/replay complete","PASS + 10-source network replay","primary-source transport only","not run","true"
"B3","independent falsification","complete","PASS","contract only","not run","true"
"B4","hybrid retrieval","complete","PASS","fixture replay only","not run","true"
"B5a","reflective Pareto generator","distinct chronological trajectory + Pareto planner complete","PASS","contract only","not run","true"
"B5b","bounded skill generator","distinct bounded skill/reflection planner complete","PASS","contract only","not run","true"
"B5c","bank recombination generator","distinct compatible donor recombination planner complete","PASS","contract only","not run","true"
"B6","supported components combined","integration complete","PASS","contract only","not run","true"
"B7","code-level generator","guarded worktree executor + independent CLI verifier complete","PASS + network-denial replay","fixture execution only","not run","false"
